iter	Passed	Remaining
1611	13698	71277
1612	13710	71288
1613	13724	71309
1614	13738	71327
1615	13750	71337
1616	13763	71354
1617	13775	71361
1618	13789	71381
1619	13796	71369
1620	13804	71354
1621	13811	71340
1622	13819	71328
1623	13828	71321
1624	13835	71307
1625	13844	71299
1626	13853	71294
1627	13862	71290
1628	13869	71273
1629	13876	71257
1630	13884	71242
1631	13888	71210
1632	13894	71193
1633	13902	71178
1634	13909	71164
1635	13914	71139
1636	13921	71119
1637	13928	71105
1638	13939	71110
1639	13951	71117
1640	13963	71128
1641	13975	71134
1642	13986	71142
1643	13998	71150
1644	14006	71137
1645	14014	71128
1646	14022	71116
1647	14035	71129
1648	14045	71130
1649	14055	71129
1650	14065	71128
1651	14076	71130
1652	14085	71126
1653	14096	71128
1654	14106	71128
1655	14113	71113
1656	14120	71095
1657	14128	71086
1658	14137	71078
1659	14147	71079
1660	14159	71086
1661	14171	71093
1662	14214	71258
1663	14229	71286
1664	14241	71294
1665	14249	71283
1666	14257	71270
1667	14265	71259
1668	14273	71249
1669	14281	71238
1670	14290	71232
1671	14298	71219
